clip_path,true_scientific_name
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Acrocephalus arundinaceus_Great Reed Warbler\38368__SMA07340_20230518_090002__1818-1821.wav,Acrocephalus arundinaceus_Great Reed Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Acrocephalus arundinaceus_Great Reed Warbler\39961__SMA07340_20230514_190000__1209-1212.wav,Acrocephalus arundinaceus_Great Reed Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Acrocephalus arundinaceus_Great Reed Warbler\40944__SMA07400_20230514_070002__1374-1377.wav,Acrocephalus arundinaceus_Great Reed Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Acrocephalus arundinaceus_Great Reed Warbler\41347__SMA07340_20230524_070002__3273-3276.wav,Acrocephalus arundinaceus_Great Reed Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Acrocephalus arundinaceus_Great Reed Warbler\41359__SMA02912_20230609_080002__3057-3060.wav,Acrocephalus arundinaceus_Great Reed Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Acrocephalus arundinaceus_Great Reed Warbler\41381__SMA07340_20230524_070002__3144-3147.wav,Acrocephalus arundinaceus_Great Reed Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Acrocephalus arundinaceus_Great Reed Warbler\41670__SMA07340_20230524_070002__3234-3237.wav,Acrocephalus arundinaceus_Great Reed Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Acrocephalus arundinaceus_Great Reed Warbler\41680__SMA07340_20230524_070002__3132-3135.wav,Acrocephalus arundinaceus_Great Reed Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Acrocephalus arundinaceus_Great Reed Warbler\41870__SMA07356_20230516_060000__2910-2913.wav,Acrocephalus arundinaceus_Great Reed Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Acrocephalus arundinaceus_Great Reed Warbler\41888__SMA07356_20230515_080002__2958-2961.wav,Acrocephalus arundinaceus_Great Reed Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Acrocephalus arundinaceus_Great Reed Warbler\41928__SMA07356_20230507_110002__2115-2118.wav,Acrocephalus arundinaceus_Great Reed Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Acrocephalus arundinaceus_Great Reed Warbler\42182__SMA07355_20230524_080002__3000-3003.wav,Acrocephalus arundinaceus_Great Reed Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Acrocephalus arundinaceus_Great Reed Warbler\42392__SMA07356_20230605_070002__2571-2574.wav,Acrocephalus arundinaceus_Great Reed Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Acrocephalus arundinaceus_Great Reed Warbler\42621__SMA07355_20230509_210002__1026-1029.wav,Acrocephalus arundinaceus_Great Reed Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Acrocephalus arundinaceus_Great Reed Warbler\42970__SMA07356_20230603_090002__1548-1551.wav,Acrocephalus arundinaceus_Great Reed Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Alcedo atthis_Common Kingfisher\38469__SMA07340_20230919_080002__1659-1662.wav,Alcedo atthis_Common Kingfisher
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Alcedo atthis_Common Kingfisher\38523__SMA07361_20230922_070002__1407-1410.wav,Alcedo atthis_Common Kingfisher
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Alcedo atthis_Common Kingfisher\38561__SMA07361_20230924_070002__2136-2139.wav,Alcedo atthis_Common Kingfisher
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Alcedo atthis_Common Kingfisher\38606__SMA07361_20230920_070002__1368-1371.wav,Alcedo atthis_Common Kingfisher
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Alcedo atthis_Common Kingfisher\38632__SMA07361_20231009_070002__2115-2118.wav,Alcedo atthis_Common Kingfisher
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Alcedo atthis_Common Kingfisher\38652__SMA07340_20230924_090002__1047-1050.wav,Alcedo atthis_Common Kingfisher
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Alcedo atthis_Common Kingfisher\38683__SMA07400_20231123_080002__2934-2937.wav,Alcedo atthis_Common Kingfisher
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Alcedo atthis_Common Kingfisher\38832__SMA07371_20231224_130002__3261-3264.wav,Alcedo atthis_Common Kingfisher
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Alcedo atthis_Common Kingfisher\39182__SMA07415_20221216_093002__1560-1563.wav,Alcedo atthis_Common Kingfisher
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Alcedo atthis_Common Kingfisher\39498__SMA07340_20240103_080002__612-615.wav,Alcedo atthis_Common Kingfisher
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Alcedo atthis_Common Kingfisher\43192__SMA07370_20231022_090002__3276-3279.wav,Alcedo atthis_Common Kingfisher
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Alcedo atthis_Common Kingfisher\43675__SMA07400_20230220_180000__1272-1275.wav,Alcedo atthis_Common Kingfisher
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Alcedo atthis_Common Kingfisher\48477__SMA07370_20230204_103002__1518-1521.wav,Alcedo atthis_Common Kingfisher
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Alcedo atthis_Common Kingfisher\48605__SMA07400_20231129_090002__3018-3021.wav,Alcedo atthis_Common Kingfisher
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Alcedo atthis_Common Kingfisher\48737__SMA07370_20221025_072002__3183-3186.wav,Alcedo atthis_Common Kingfisher
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Cettia cetti_Cetti's Warbler\39659__SMA07371_20230219_073002__504-507.wav,Cettia cetti_Cetti's Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Cettia cetti_Cetti's Warbler\39703__SMA07356_20230216_180000__2070-2073.wav,Cettia cetti_Cetti's Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Cettia cetti_Cetti's Warbler\39738__SMA07370_20230217_073002__966-969.wav,Cettia cetti_Cetti's Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Cettia cetti_Cetti's Warbler\39948__SMA07394_20230205_103002__813-816.wav,Cettia cetti_Cetti's Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Cettia cetti_Cetti's Warbler\40062__SMA07371_20230222_073002__1464-1467.wav,Cettia cetti_Cetti's Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Cettia cetti_Cetti's Warbler\40155__SMA07356_20230226_133002__1380-1383.wav,Cettia cetti_Cetti's Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Cettia cetti_Cetti's Warbler\40402__SMA07361_20221112_093002__1632-1635.wav,Cettia cetti_Cetti's Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Cettia cetti_Cetti's Warbler\43108__SMA07371_20231101_080002__171-174.wav,Cettia cetti_Cetti's Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Cettia cetti_Cetti's Warbler\43223__SMA07340_20230203_103002__765-768.wav,Cettia cetti_Cetti's Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Cettia cetti_Cetti's Warbler\43444__SMA07400_20230404_073002__3273-3276.wav,Cettia cetti_Cetti's Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Cettia cetti_Cetti's Warbler\47282__SMA07370_20230204_093002__2400-2403.wav,Cettia cetti_Cetti's Warbler
C:\Natalia\codigo_luis\ComparacionModelos\Natalia\Dataset\BirdNET\Train BirdNET\Cettia cetti_Cetti's Warbler\50866__SMA07400_20231227_090002__1731-1734.wav,Cettia cetti_Cetti's Warbler
